Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Description,Risk target
67,male,2,own,moderate,little,1169,6,radio/TV,"1. This credit application is from a 67-year-old male retiree with moderate savings and little checking account balance. He is seeking a small loan of $1,169 for a short duration of 6 months, likely for the purpose of purchasing a radio or TV.",Good risk
22,female,2,own,little,moderate,5951,48,radio/TV,"2. The applicant is a 22-year-old female with a modest job level, owning a home, and moderate checking account balance. She is requesting a substantial loan of $5,951 for a long duration of 48 months, potentially for the purchase of a radio or TV.",Bad risk
49,male,1,own,little,moderate,2096,12,education,"3. This application is from a 49-year-old male with a lower job level, owning a home, and moderate checking account balance. He is seeking a loan of $2,096 for 12 months, possibly for educational purposes.",Good risk
45,male,2,free,little,little,7882,42,furniture/equipment,"4. The applicant is a 45-year-old male with a modest job level, living in free housing, and little savings and checking account balances. He is requesting a significant loan of $7,882 for a duration of 42 months, likely for the purpose of purchasing furniture or equipment.",Bad risk
53,male,2,free,little,little,4870,24,car,"5. This credit application is from a 53-year-old male with a modest job level, living in free housing, and little savings and checking account balances. He is seeking a loan of $4,870 for a duration of 24 months, potentially for the purchase of a car.",Bad risk
35,male,1,free,little,moderate,9055,36,education,"1. This is a 35-year-old male applicant seeking an education loan of $9,055 for a 36-month term. He has a moderate checking account balance, little savings, and is currently living in free housing. His job level is 1, which may indicate an entry-level or lower-income position.",Bad risk
53,male,2,own,quite rich,moderate,2835,24,furniture/equipment,"2. This is a 53-year-old male applicant seeking a $2,835 loan for furniture/equipment over a 24-month term. He has a moderate checking account balance, quite rich savings, and owns his housing. His job level is 2, which may indicate a mid-level or average income position.",Good risk
35,male,3,rent,little,moderate,6948,36,car,"3. This is a 35-year-old male applicant seeking a $6,948 car loan for a 36-month term. He has a moderate checking account balance, little savings, and is currently renting his housing. His job level is 3, which may indicate a higher-income or professional position.",Good risk
61,male,1,own,rich,moderate,3059,12,radio/TV,"4. This is a 61-year-old male applicant seeking a $3,059 loan for radio/TV over a 12-month term. He has a moderate checking account balance, rich savings, and owns his housing. His job level is 1, which may indicate an entry-level or lower-income position.",Good risk
28,male,3,own,little,moderate,5234,30,car,"5. This is a 28-year-old male applicant seeking a $5,234 car loan for a 30-month term. He has a moderate checking account balance, little savings, and owns his housing. His job level is 3, which may indicate a higher-income or professional position.",Good risk
25,female,2,rent,little,moderate,1295,12,car,"1. The applicant is a 25-year-old female with a moderate level of income and modest financial resources. She is seeking a 12-month loan of $1295 to purchase a car. While her savings are limited, her checking account balance is moderate, indicating some ability to make regular payments.",Good risk
24,female,2,rent,little,little,4308,48,business,"2. This 24-year-old female applicant has a moderate income level and limited financial resources. She is requesting a substantial loan amount of $4308 for a business purpose, with a repayment period of 48 months. Her limited savings and checking account balances may pose a challenge for managing such a sizable loan commitment.",Bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,"3. The applicant is a 22-year-old female with a moderate income level and modest financial resources. She is a homeowner seeking a 12-month loan of $1567 for the purchase of a radio or TV. While her savings are limited, her moderate checking account balance suggests some capacity for regular payments.",Good risk
60,male,1,own,little,little,1199,24,car,4. This 60-year-old male applicant has a lower income level and limited financial resources. He is a homeowner seeking a 24-month loan of $1199 for the purchase of a car. His limited savings and checking account balances may pose a challenge for managing the loan repayments.,Bad risk
28,female,2,rent,little,little,1403,15,car,"5. The applicant is a 28-year-old female with a moderate income level and limited financial resources. She is seeking a 15-month loan of $1403 for the purchase of a car. While her savings are limited, her limited checking account balance may make it challenging to manage regular loan payments.",Bad risk
32,female,1,own,moderate,little,1282,24,radio/TV,1. The applicant is a 32-year-old female with a moderate savings account and little checking account balance. She is employed at job level 1 and owns her housing. The credit amount requested is 1282 for a 24-month loan to purchase a radio/TV.,Good risk
53,male,2,own,little,moderate,2424,24,radio/TV,2. The applicant is a 53-year-old male with little savings and a moderate checking account balance. He is employed at job level 2 and owns his housing. The credit amount requested is 2424 for a 24-month loan to purchase a radio/TV.,Good risk
25,male,2,own,little,little,8072,30,business,3. The applicant is a 25-year-old male with little savings and checking account balances. He is employed at job level 2 and owns his housing. The credit amount requested is 8072 for a 30-month business loan.,Bad risk
44,female,3,free,little,moderate,12579,24,car,4. The applicant is a 44-year-old female with little savings and a moderate checking account balance. She is employed at job level 3 and has free housing. The credit amount requested is 12579 for a 24-month car loan.,Bad risk
31,male,2,own,quite rich,moderate,3430,24,radio/TV,5. The applicant is a 31-year-old male with a quite rich savings account and moderate checking account balance. He is employed at job level 2 and owns his housing. The credit amount requested is 3430 for a 24-month loan to purchase a radio/TV.,Good risk
48,male,2,own,little,moderate,2134,9,car,"1. The applicant is a 48-year-old male with a moderate income level (job level 2). He owns his own home and has little savings but a moderate checking account balance. He is seeking a loan of $2,134 for a car, with a repayment period of 9 months.",Good risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,"2. The applicant is a 44-year-old male with a moderate income level (job level 2). He rents his housing and has quite a substantial savings account but little in his checking account. He is seeking a loan of $2,647 for a radio/TV, with a repayment period of 6 months.",Good risk
48,male,1,rent,little,little,2241,10,car,"3. The applicant is a 48-year-old male with a lower income level (job level 1). He rents his housing and has little in both his savings and checking accounts. He is seeking a loan of $2,241 for a car, with a repayment period of 10 months.",Bad risk
44,male,2,own,moderate,moderate,1804,12,car,"4. The applicant is a 44-year-old male with a moderate income level (job level 2). He owns his own home and has moderate balances in both his savings and checking accounts. He is seeking a loan of $1,804 for a car, with a repayment period of 12 months.",Good risk
26,male,2,own,little,moderate,2069,10,furniture/equipment,"5. The applicant is a 26-year-old male with a moderate income level (job level 2). He owns his own home and has little savings but a moderate checking account balance. He is seeking a loan of $2,069 for furniture/equipment, with a repayment period of 10 months.",Good risk
36,male,1,own,little,little,1374,6,furniture/equipment,"1. This credit application is from a 36-year-old male with a low-level job, who owns a home but has little savings and checking account balances. He is seeking a loan of $1,374 for 6 months to purchase furniture or equipment.",Bad risk
39,male,1,own,little,moderate,426,6,radio/TV,"2. The applicant is a 39-year-old male with a low-level job, who owns a home and has little savings but a moderate checking account balance. He is requesting a $426 loan for 6 months to purchase a radio or TV.",Good risk
